slug,title,style
optoelectronic-information-science-engineering,光电信息科学与工程,eng
mechanical-design-manufacture-automation,机械设计制造及其自动化,eng
environmental-engineering,环境工程,eng
biological-engineering,生物工程,eng
robotics-engineering,机器人工程,eng
energy-power-engineering,能源与动力工程,eng
pharmaceutical-engineering,制药工程,eng
intelligent-manufacturing-engineering,智能制造工程,eng
environmental-science,环境科学,sci
polymer-materials-engineering,高分子材料与工程,eng
engineering-mechanics,工程力学,eng
new-energy-science-engineering,新能源科学与工程,eng
materials-forming-control-engineering,材料成型及控制工程,eng
measurement-control-technology-instruments,测控技术与仪器,eng
landscape-architecture2,风景园林,eng
information-security,信息安全,cs
safety-engineering,安全工程,eng
digital-media-technology,数字媒体技术,cs
mechatronic-engineering,机械电子工程,eng
electronic-science-technology,电子科学与技术,eng
biopharmaceutical-engineering,生物制药,eng
process-equipment-control-engineering,过程装备与控制工程,eng
energy-storage-science-engineering,储能科学与工程,eng
hydraulic-engineering,水利水电工程,eng
intelligent-construction,智能建造,eng
geological-engineering,地质工程,eng
internet-of-things-engineering,物联网工程,cs
japanese,日语,humanities
journalism,新闻学,humanities
advertising,广告学,humanities
translation-interpreting,翻译,humanities
broadcasting-hosting,播音与主持艺术,humanities
russian,俄语,humanities
applied-linguistics,应用语言学,humanities
ideological-political-education,思想政治教育,law
medical-imaging,医学影像学,medicine
stomatology,口腔医学,medicine
traditional-chinese-medicine,中医学,medicine
anesthesiology,麻醉学,medicine
traditional-chinese-pharmacy,中药学,medicine
medical-laboratory-science,医学检验技术,medicine
rehabilitation-therapy,康复治疗学,medicine
animal-science,动物科学,agri
horticulture,园艺,agri
