slug,title,style
advertising,广告学,humanities
agricultural-intelligent-equipment-engineering,农业智能装备工程,agri
anesthesiology,麻醉学,medicine
animal-science,动物科学,agri
applied-linguistics,应用语言学,humanities
audiology-speech-rehabilitation,听力与言语康复学,medicine
big-data-management-application,大数据管理与应用,business
bioinformatics,生物信息学,sci
biological-engineering,生物工程,eng
biomedical-engineering,生物医学工程,medicine
bionic-science-engineering,仿生科学与工程,eng
biopharmaceutical-engineering,生物制药,medicine
blockchain-engineering,区块链工程,cs
broadcasting-hosting,播音与主持艺术,humanities
chemical-biology,化学生物学,sci
clinical-engineering-technology,临床工程技术,medicine
computational-linguistics,计算语言学,humanities
credit-management,信用管理,business
cross-border-ecommerce,跨境电子商务,business
cryptology-science-technology,密码科学与技术,cs
cultural-industry-management,文化产业管理,administration
cultural-relics-museology,文物与博物馆学,humanities
cyber-information-law,网络与信息法学,law
digital-economy,数字经济,business
digital-humanities,数字人文,humanities
digital-media-technology,数字媒体技术,cs
digital-twin-technology,数字孪生技术,cs
electronic-science-technology,电子科学与技术,eng
energy-power-engineering,能源与动力工程,eng
energy-storage-science-engineering,储能科学与工程,eng
engineering-mechanics,工程力学,eng
environmental-ecological-engineering,环境生态工程,sci
environmental-engineering,环境工程,eng
environmental-resource-protection-law,环境与资源保护法学,law
environmental-science,环境科学,sci
ethnology,民族学,humanities
financial-law,金融法,law
fintech,金融科技,business
food-hygiene-nutrition,食品卫生与营养学,medicine
geoinformation-science-technology,地球信息科学与技术,sci
geological-engineering,地质工程,eng
global-climate-change,全球气候变化,sci
health-law,卫生健康法学,law
horticulture,园艺,agri
hydraulic-engineering,水利水电工程,eng
ideological-political-education,思想政治教育,law
industrial-intelligence,工业智能,eng
information-security,信息安全,cs
intelligent-construction,智能建造,eng
intelligent-manufacturing-engineering,智能制造工程,eng
intelligent-marine-equipment,智能海洋装备,eng
intelligent-medical-engineering,智能医学工程,medicine
intelligent-mining-engineering,智能采矿工程,eng
intelligent-transportation,智能交通工程,eng
intelligent-vehicle-engineering,智能车辆工程,eng
international-journalism-communication,国际新闻与传播,humanities
internet-of-things-engineering,物联网工程,cs
japanese,日语,humanities
journalism,新闻学,humanities
land-science-technology,土地科学与技术,agri
landscape-architecture2,风景园林,agri
marine-fishery-science-technology,海洋渔业科学与技术,agri
marine-information-technology,海洋信息技术,cs
materials-forming-control-engineering,材料成型及控制工程,eng
measurement-control-technology-instruments,测控技术与仪器,eng
mechanical-design-manufacture-automation,机械设计制造及其自动化,eng
mechatronic-engineering,机械电子工程,eng
medical-imaging,医学影像学,medicine
medical-laboratory-science,医学检验技术,medicine
new-energy-science-engineering,新能源科学与工程,eng
ophthalmology-optometry,眼视光医学,medicine
optoelectronic-information-science-engineering,光电信息科学与工程,eng
pharmaceutical-engineering,制药工程,eng
polymer-materials-engineering,高分子材料与工程,eng
process-equipment-control-engineering,过程装备与控制工程,eng
psychiatry,精神医学,medicine
quantum-information-engineering,量子信息工程,eng
rehabilitation-therapy,康复治疗学,medicine
robotics-engineering,机器人工程,eng
rural-regional-development,农村区域发展,agri
russian,俄语,humanities
safety-engineering,安全工程,eng
service-science-engineering,服务科学与工程,cs
smart-agriculture,智慧农业,agri
smart-energy-engineering,智慧能源工程,eng
sports-economy-management,体育经济与管理,humanities
sports-law,体育法,law
stomatology,口腔医学,medicine
supply-chain-management,供应链管理,administration
tcm-rehabilitation,中医康复学,medicine
traditional-chinese-medicine,中医学,medicine
traditional-chinese-pharmacy,中药学,medicine
translation-interpreting,翻译,humanities
virtual-reality-technology,虚拟现实技术,cs
